 Designator , Function , Value / Part , Package , Qty , Price (USD) , Link ,,
 J2 , USB-C Receptacle , USB4110GFA,SMD ,1,$1.27 , [Mouser](https://www.mouser.com/ProductDetail/GCT/USB4110-GF-A?qs=KUoIvG%2F9IlYiZvIXQjyJeA%3D%3D&srsltid=AfmBOoqFJ-91enIyu9A26tSaC9mGIXgz0BrHN1BArDjjXIR4G4HD0bAR) ,,
" J1, J3, J4, J7 ", Board Connector,Samtec ZF1-15-02-X-WT-X , SMD ,4,$6.80,[Mouser](https://www.mouser.bg/ProductDetail/Samtec/ZF1-15-02-TM-WT?qs=%252BZP6%2F%252BtExtBQirvzLIJzEA%3D%3D) ,,
" S3, S4 ", Player Clock Button,TL3315NF250Q , SMD ,2,$0.28,[Mouser](https://www.mouser.bg/ProductDetail/E-Switch/TL3315NF250Q?qs=g35H13458Kaz43%252B3owu1iQ%3D%3D) ,,
 SW2 , Boot Switch , Omron B3FS,SMD ,1,$0.62, [Mouser](https://www.mouser.bg/ProductDetail/Omron-Electronics/B3FS-1000P?qs=ImaqFqjHA4k6odVF2%2FXWpQ%3D%3D) ,,
" D1, D2 ", Charging LED,Q65111A7377 ,0402,2,$0.92,[Mouser](https://www.mouser.com/ProductDetail/ams-OSRAM/Q65111A7377?qs=sGAEpiMZZMv0DJfhVcWlKwb9uSCDLxPf%2FYHVt4kOg1XhmEL4WLxLEQ%3D%3D) ,,
" R3, R4 ", USB-C CC Resistor,5.1kO ,0402,2,$0.20,[Mouser](https://www.mouser.bg/ProductDetail/YAGEO/RC0402FR-075K1L?qs=YUgVZYePFqCSmQuaha43RA%3D%3D) ,,
 R5 , Charge Current Set,800O ,0402,1,$0.10,[Mouser](https://www.mouser.bg/ProductDetail/SEI-Stackpole/RMCF0402FT806R?qs=IPgv5n7u5Qa32gYJEFJiUQ%3D%3D) ,,
 R6 , Charge Set,1.2kO ,0402,1,$0.10,[Mouser](https://www.mouser.bg/ProductDetail/YAGEO/RC0402JR-071K2L?qs=KuCtQF8z8nDVvRd2gRh7cw%3D%3D) ,,
"R7, R107, R108", Charge Set,2kO ,0402,1,$0.10,[Mouser](https://www.mouser.bg/ProductDetail/YAGEO/RC0402FR-072KL?qs=V1yeUXFNrkkvY0qFpE7ijg%3D%3D) ,,
" R8, R11, R13, R35, R36 ",Pull / Bias,100kO ,0603,5,$0.50,[Mouser](https://www.mouser.bg/ProductDetail/YAGEO/RC0603FR-07100KL?qs=e1ok2LiJcmaihem8Va5%2Fsw%3D%3D) ,,
 R9 , Pull / Bias , 100kO ,0402,1,$0.10 , [Mouser](https://www.mouser.bg/ProductDetail/YAGEO/RC0402FR-07100KL?qs=mnq%2FyloZIXzTlUn7JAHSWg%3D%3D) ,,
 R12 , Bias , 750kO ,0805,1,$0.10 , [Mouser](https://www.mouser.bg/ProductDetail/Bourns/CR0805-FX-7503ELF?qs=Ek4EPvi0xiD1ZaaiTWdU0w%3D%3D) ,,
 R10 , Current Limit , 330O ,0402,1,$0.10 , [Mouser](https://www.mouser.bg/ProductDetail/YAGEO/RC0402FR-07330RL?qs=V1yeUXFNrkngRWHRQxns%2Fg%3D%3D) ,,
" R16R19, R23, 39,40, R43, R44, R45R106 ", Pull-up / Pull-down , 10kO ,0402,7,$0.77 , [Mouser](https://www.mouser.bg/ProductDetail/YAGEO/AC0402FR-0710KL?qs=yhV1fb9g%2FKYkR5U3B7upEQ%3D%3D) ,,
R37,Voltage-divider,3.3kΩ,0402,1,$0.1, [Mouser](https://www.mouser.bg/ProductDetail/YAGEO/RC0402JR-103K3L?qs=qpJ%252B%252B%252Bdg6p211Yj14a%2Fidg%3D%3D),,
R38,Voltage-divider,6.8kΩ,0402,1,$0.27,[Mouser](https://www.mouser.bg/ProductDetail/Panasonic/ERJ-H2RD6801X?qs=sGAEpiMZZMtlubZbdhIBIGXWvNSLmQjepnVQul72bkc%3D),,
 R34 , Pull-up / Pull-down , 10kO ,0201,1,$0.10 , [Mouser](https://www.mouser.bg/ProductDetail/YAGEO/RC0201FR-0710KL?qs=FLc6udek5PS1AiJCgpc6bQ%3D%3D) ,,
" R14, R15, R22, R24, R25, R30, R31, R41, R42 ", Series Damping , 33O ,0402,9,$0.90 , [Mouser](https://www.mouser.bg/ProductDetail/YAGEO/RC0402JR-0733RL?qs=uM1JSSdPjOAuJ%2F4ZF3IeKA%3D%3D) ,,
 C (various) , Decoupling / Bulk ," 100nF, 1uF, 4.7uF, 10uF, 22uF ", 0402/0603/0805/1206 ,105,$16 , [Amazon](https://www.amazon.com/Bridgold-111Types-Capacitor-1pF-10uF-3-9pF-22uF/dp/B0C196FBK3/ref=sr_1_10?dib=eyJ2IjoiMSJ9.Sik-1N6T3B22pMHx3gZwssQe9HV9aXahGuDaX-uB1yfBLuMOqud5ObrWRTFUEP5qQT2cI_n6L6fgTxfF61UY6m7jwAR2JlYfwWtNi5UCKX4QVam3zu4P14UT01DyXCllphzxt5CmLBpMIcKJr-lpdFgCHgOWfw1AMDWRa0VJgoOHSTB1Ejcqxwg_bRNHyVE3csjNCQKdCS_s7IOfQRityBtC0y6ZoSuw4EYrFxCoT9w.R-0uFALOYO601m_UiLGERn05S21OQveJX7LUG-RrBD0&dib_tag=se&keywords=SMD%2BCapacitor&qid=1781345348&sr=8-10&th=1) ,,
" C17, C18 ", CP_EIA-7343-20_Kemet-V , 100uF ,2917,2,$8.68 , [Mouser](https://www.mouser.bg/ProductDetail/KEMET/T494V107K016AT?qs=esDHISMOsl1F06bDLafyPA%3D%3D) ,,
 Neodymium magnets , Circle , N35-N52 , 20x5cm , 32(40) ,$20 , [Amazon](https://www.amazon.com/TRYMAG-Decorative-Neodymium-Powerful-Scientific/dp/B0G4D78X7T/ref=pd_ci_mcx_di_int_sccai_cn_d_sccl_1_7/136-7378115-7020437?pd_rd_w=JVAsz&content-id=amzn1.sym.751acc83-5c05-42d0-a15e-303622651e1e&pf_rd_p=751acc83-5c05-42d0-a15e-303622651e1e&pf_rd_r=S49NM63KZQJV9PRHP6W2&pd_rd_wg=72OFc&pd_rd_r=0b37500f-f078-4104-9d5c-44c4b33a4363&pd_rd_i=B0FG839Q2X&th=1) , ,
 Neodymium magnets , Rectangular , N35-N52 , 5x10x2mm , 6(100) ,$7.60 , [Amazon](https://www.amazon.com/dp/B0GK8XXS5P/ref=sspa_dk_detail_right_aax_0?sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfcmlnaHRfc2hhcmVk&th=1) ,,
" BT1, BT2 ", Li-ion Battery  , 3.7V 3400mAh ,18650,2, $5.76 (I have them) , [AliExpress](https://www.aliexpress.com/item/1005008704323807.html?spm=a2g0o.productlist.main.11.41426338JMDLOG&algo_pvid=5468ca2c-7ea9-4975-b4e9-84117a248739&algo_exp_id=5468ca2c-7ea9-4975-b4e9-84117a248739-10&pdp_ext_f=%7B%22order%22%3A%22594%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21MKD%21589.61%21306.60%21%21%2168.00%2135.36%21%40212a70c017813517499738402e1745%2112000046318715827%21sea%21MK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aaeed944%3Bm03_new_user%3A-29895&curPageLogUid=c8XERDHzRrxn&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008704323807%7C_p_origin_prod%3A),,
 X , FFC Connector , 15-pin , 500mm ,3,$6.82 , [Amazon](https://www.amazon.com.be/-/en/Flexible-Ribbon-Cable-Camera-Module/dp/B07P8Z27ZY?language=en_GB),,
 X , M3 Screws , M3 , 10mm ,50,$5.50 , [AliExpress](https://www.aliexpress.com/item/33028169759.html?spm=a2g0o.productlist.main.48.53865b5fAhCGwY&algo_pvid=629709d9-a21f-428c-aced-7c4376ca24fc&algo_exp_id=629709d9-a21f-428c-aced-7c4376ca24fc-45&pdp_ext_f=%7B%22order%22%3A%22366%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AED%215.37%213.75%21%21%211.42%210.99%21%402102f0cc17811144146558226e9158%2112000025630870148%21sea%21AE%216550317333%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9c10be3c%3Bm03_new_user%3A-29895%3BpisId%3A5000000204469934&curPageLogUid=FOQQuqUMxISX&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A33028169759%7C_p_origin_prod%3A&gatewayAdapt=ara2glo) ,,
 X , M3 Nuts , M3 , ,25,$3.50 , [AliExpress](https://www.aliexpress.com/item/32978551452.html?spm=a2g0o.productlist.main.1.7c154ece9D2Th2&algo_pvid=84088476-8a89-43b9-a92f-5755b7a463e3&algo_exp_id=84088476-8a89-43b9-a92f-5755b7a463e3-0&pdp_ext_f=%7B%22order%22%3A%222796%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21MKD%21254.64%21254.06%21%21%214.36%214.35%21%40210156fc17816089059113153e1450%2112000015835866719%21sea%21MK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aaeed944%3Bm03_new_user%3A-29895&curPageLogUid=wct4KENxKUYh&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32978551452%7C_p_origin_prod%3A),,
 X , Main PCB , PCBWAY as second alternative , ,5,70$,[JLCPCB](https://jlcpcb.com/),,
 X ,Upper PCB, , ,5,130$,[JLCPCB](https://jlcpcb.com/),,
 X ,Clock PCB, PCBWAY as second alternative , ,5,58$,[JLCPCB](https://jlcpcb.com/),,
 X ,Main Chess Board 3D, , ,1,$80 ,[3dprintmk](https://www.3dprintmk.com),,
 X ,Chess Board Lid 3D, , ,1,$15 ,[3dprintmk](https://www.3dprintmk.com),,
 X ,Buttons 3D, , ,2,$7.50 ,[3dprintmk](https://www.3dprintmk.com),,
 X ,Chess Pieces 3D, , ,2,$15 ,[3dprintmk](https://www.3dprintmk.com),,
 *Mouser Total* ,$104 , with cargo  , , , , , ,
 *Amazon Total* ,$71.79 , with cargo  , , , , , ,
 *AliExpress Total* ,$56 , with cargo  , without batteries , , , , ,
 *PCB Printing* ,$332 , with cargo , , , , , , 
 *3D Printing* ,$120 , with cargo , , , , , ,
 **TOTAL** , *approx. $680* , , , , , ,,
